Date,Net Clicks,Install Clicks,Uninstall Clicks
2021-07-07,18,25,7
2021-07-08,22,35,13
2021-07-09,23,34,11
2021-07-10,33,44,11
2021-07-11,30,41,11
2021-07-12,38,65,27
2021-07-13,36,59,23
2021-07-14,23,32,9
2021-07-15,29,44,15
2021-07-16,37,46,9
2021-07-17,29,36,7
2021-07-18,42,52,10
2021-07-19,15,29,14
2021-07-20,28,40,12
2021-07-21,39,59,20
2021-07-22,12,28,16
2021-07-23,33,41,8
2021-07-24,27,44,17
2021-07-25,23,29,6
2021-07-26,25,39,14
2021-07-27,32,41,9
2021-07-28,40,42,2
2021-07-29,25,30,5
2021-07-30,27,36,9
2021-07-31,26,44,18
2021-08-01,30,42,12
2021-08-02,24,37,13
2021-08-03,20,28,8
2021-08-04,22,32,10
2021-08-05,36,45,9
2021-08-06,33,34,1
2021-08-07,26,35,9
2021-08-08,31,39,8
2021-08-09,26,32,6
2021-08-10,46,63,17
2021-08-11,31,80,49
2021-08-12,30,132,102
2021-08-13,15,40,25
2021-08-14,14,38,24
2021-08-15,21,39,18
2021-08-16,25,55,30
2021-08-17,17,47,30
2021-08-18,30,49,19
2021-08-19,24,56,32
2021-08-20,22,45,23
2021-08-21,18,42,24
2021-08-22,24,42,18
2021-08-23,21,129,108
2021-08-24,25,74,49
2021-08-25,53,100,47
2021-08-26,19,46,27
2021-08-27,26,57,31
2021-08-28,34,137,103
2021-08-29,24,75,51
2021-08-30,23,67,44
2021-08-31,25,59,34
2021-09-01,24,52,28
2021-09-02,12,43,31
2021-09-03,22,51,29
2021-09-04,20,38,18
2021-09-05,23,50,27
2021-09-06,27,48,21
2021-09-07,21,35,14
2021-09-08,35,49,14
2021-09-09,18,31,13
2021-09-10,21,35,14
2021-09-11,26,44,18
2021-09-12,24,42,18
2021-09-13,25,37,12
2021-09-14,22,38,16
2021-09-15,17,24,7
2021-09-16,25,37,12
2021-09-17,22,34,12
2021-09-18,19,29,10
2021-09-19,16,33,17
2021-09-20,17,29,12
2021-09-21,20,39,19
2021-09-22,15,38,23
2021-09-23,20,25,5
2021-09-24,16,36,20
2021-09-25,22,40,18
2021-09-26,8,19,11
2021-09-27,27,41,14
2021-09-28,16,23,7
2021-09-29,22,28,6
2021-09-30,14,22,8
2021-10-01,29,36,7
2021-10-02,22,28,6
2021-10-03,21,30,9
2021-10-04,16,26,10
2021-10-05,15,22,7
2021-10-06,15,20,5
2021-10-07,17,27,10
2021-10-08,18,28,10
2021-10-09,25,31,6
2021-10-10,22,40,18
2021-10-11,33,49,16
2021-10-12,20,35,15
2021-10-13,17,33,16
2021-10-14,17,29,12
2021-10-15,17,33,16
2021-10-16,11,16,5
2021-10-17,19,26,7
2021-10-18,17,27,10
2021-10-19,18,25,7
2021-10-20,15,19,4
2021-10-21,32,37,5
2021-10-22,20,25,5
2021-10-23,16,25,9
2021-10-24,39,42,3
2021-10-25,13,21,8
2021-10-26,26,34,8
2021-10-27,16,31,15
2021-10-28,21,29,8
2021-10-29,9,16,7
2021-10-30,17,22,5
2021-10-31,21,23,2
2021-11-01,24,30,6
2021-11-02,20,29,9
2021-11-03,26,29,3
2021-11-04,12,13,1
2021-11-05,10,13,3
2021-11-06,16,21,5
2021-11-07,16,21,5
2021-11-08,40,48,8
2021-11-09,25,55,30
2021-11-10,17,39,22
2021-11-11,22,46,24
2021-11-12,22,40,18
2021-11-13,22,39,17
2021-11-14,31,72,41
2021-11-15,22,52,30
2021-11-16,21,40,19
2021-11-17,27,37,10
2021-11-18,28,50,22
2021-11-19,21,39,18
2021-11-20,15,28,13
2021-11-21,21,36,15
2021-11-22,18,25,7
2021-11-23,19,30,11
2021-11-24,20,35,15
2021-11-25,22,29,7
2021-11-26,16,26,10
2021-11-27,18,24,6
2021-11-28,21,34,13
2021-11-29,10,23,13
2021-11-30,15,25,10
2021-12-01,23,25,2
2021-12-02,15,25,10
2021-12-03,26,35,9
2021-12-04,16,26,10
2021-12-05,21,24,3
2021-12-06,19,25,6
2021-12-07,20,20,0
2021-12-08,15,20,5
2021-12-09,20,20,0
2021-12-10,12,13,1
2021-12-11,23,29,6
2021-12-12,10,28,18
2021-12-13,14,26,12
2021-12-14,20,39,19
2021-12-15,18,31,13
2021-12-16,14,21,7
2021-12-17,23,30,7
2021-12-18,12,22,10
2021-12-19,17,27,10
2021-12-20,4,12,8
2021-12-21,6,21,15
2021-12-22,17,25,8
2021-12-23,11,24,13
2021-12-24,7,19,12
2021-12-25,12,17,5
2021-12-26,15,20,5
2021-12-27,22,25,3
2021-12-28,8,21,13
2021-12-29,22,50,28
2021-12-30,10,28,18
2021-12-31,9,27,18
2022-01-01,18,31,13
2022-01-02,15,24,9
2022-01-03,21,30,9
2022-01-04,17,27,10
2022-01-05,14,36,22
2022-01-06,14,25,11
2022-01-07,26,40,14
2022-01-08,17,28,11
2022-01-09,16,32,16
2022-01-10,15,25,10
2022-01-11,24,38,14
2022-01-12,16,26,10
2022-01-13,37,47,10
2022-01-14,19,30,11
2022-01-15,23,30,7
2022-01-16,23,29,6
2022-01-17,27,44,17
2022-01-18,24,29,5
2022-01-19,29,66,37
2022-01-20,34,87,53
2022-01-21,11,49,38
2022-01-22,24,45,21
2022-01-23,23,46,23
2022-01-24,17,45,28
2022-01-25,15,30,15
2022-01-26,21,34,13
2022-01-27,27,41,14
2022-01-28,15,27,12
2022-01-29,17,35,18
2022-01-30,28,46,18
2022-01-31,18,24,6
2022-02-01,28,36,8
2022-02-02,18,27,9
2022-02-03,28,39,11
2022-02-04,30,37,7
2022-02-05,29,47,18
2022-02-06,24,38,14
2022-02-07,27,32,5
2022-02-08,26,39,13
2022-02-09,21,27,6
2022-02-10,31,40,9
2022-02-11,19,28,9
2022-02-12,26,36,10
2022-02-13,27,39,12
2022-02-14,18,22,4
2022-02-15,20,27,7
2022-02-16,25,27,2
2022-02-17,27,37,10
2022-02-18,29,32,3
2022-02-19,21,34,13
2022-02-20,23,26,3
2022-02-21,35,39,4
2022-02-22,19,22,3
2022-02-23,18,21,3
2022-02-24,15,19,4
2022-02-25,20,27,7
2022-02-26,22,28,6
2022-02-27,15,20,5
2022-02-28,16,24,8
2022-03-01,9,12,3
2022-03-02,18,23,5
2022-03-03,15,20,5
2022-03-04,17,21,4
2022-03-05,22,29,7
2022-03-06,9,15,6
2022-03-07,20,23,3
2022-03-08,18,20,2
2022-03-09,25,30,5
2022-03-10,22,29,7
2022-03-11,18,22,4
2022-03-12,27,30,3
2022-03-13,17,25,8
2022-03-14,14,19,5
2022-03-15,19,24,5
2022-03-16,19,21,2
2022-03-17,21,24,3
2022-03-18,20,25,5
2022-03-19,9,15,6
2022-03-20,10,13,3
2022-03-21,13,15,2
2022-03-22,14,23,9
2022-03-23,8,19,11
2022-03-24,32,158,126
2022-03-25,15,84,69
2022-03-26,13,70,57
2022-03-27,14,41,27
2022-03-28,16,42,26
2022-03-29,23,47,24
2022-03-30,13,36,23
2022-03-31,18,39,21
2022-04-01,10,32,22
2022-04-02,17,32,15
2022-04-03,5,25,20
2022-04-04,16,30,14
2022-04-05,17,34,17
2022-04-06,11,27,16
2022-04-07,24,40,16
2022-04-08,18,32,14
2022-04-09,10,20,10
2022-04-10,9,21,12
2022-04-11,14,23,9
