Date,Net Clicks,Install Clicks,Uninstall Clicks
2021-04-23,11,14,3
2021-04-24,12,15,3
2021-04-25,7,18,11
2021-04-26,3,11,8
2021-04-27,7,9,2
2021-04-28,1,2,1
2021-04-29,8,14,6
2021-04-30,3,9,6
2021-05-01,13,17,4
2021-05-02,9,9,0
2021-05-03,11,14,3
2021-05-04,3,12,9
2021-05-05,11,12,1
2021-05-06,11,15,4
2021-05-07,5,7,2
2021-05-08,15,19,4
2021-05-09,12,13,1
2021-05-10,9,11,2
2021-05-11,10,14,4
2021-05-12,0,2,2
2021-05-13,6,9,3
2021-05-14,11,12,1
2021-05-15,6,12,6
2021-05-16,14,15,1
2021-05-17,6,11,5
2021-05-18,10,18,8
2021-05-19,6,9,3
2021-05-20,11,14,3
2021-05-21,8,11,3
2021-05-22,12,16,4
2021-05-23,10,10,0
