Date,Net Clicks,Install Clicks,Uninstall Clicks
2022-06-18,45,62,17
2022-06-19,47,61,14
2022-06-20,31,46,15
2022-06-21,33,91,58
2022-06-22,27,132,105
2022-06-23,30,39,9
2022-06-24,20,26,6
2022-06-25,22,28,6
2022-06-26,29,38,9
2022-06-27,37,43,6
2022-06-28,26,31,5
2022-06-29,24,30,6
2022-06-30,18,24,6
2022-07-01,25,27,2
2022-07-02,30,33,3
2022-07-03,23,29,6
2022-07-04,18,20,2
2022-07-05,32,38,6
2022-07-06,25,31,6
2022-07-07,24,24,0
2022-07-08,29,32,3
2022-07-09,30,37,7
2022-07-10,22,26,4
2022-07-11,32,38,6
2022-07-12,30,32,2
2022-07-13,20,24,4
2022-07-14,24,31,7
2022-07-15,26,29,3
2022-07-16,36,41,5
2022-07-17,21,27,6
2022-07-18,22,24,2
2022-07-19,23,30,7
2022-07-20,24,28,4
2022-07-21,23,27,4
2022-07-22,29,33,4
2022-07-23,28,33,5
2022-07-24,22,28,6
2022-07-25,20,29,9
2022-07-26,25,32,7
2022-07-27,35,38,3
2022-07-28,27,30,3
2022-07-29,33,37,4
2022-07-30,23,26,3
2022-07-31,19,21,2
2022-08-01,31,34,3
2022-08-02,28,31,3
2022-08-03,28,30,2
2022-08-04,22,27,5
2022-08-05,26,32,6
2022-08-06,20,22,2
2022-08-07,13,14,1
2022-08-08,18,24,6
2022-08-09,34,37,3
