Date,Net Clicks,Install Clicks,Uninstall Clicks
2021-04-23,21,27,6
2021-04-24,30,34,4
2021-04-25,15,20,5
2021-04-26,23,26,3
2021-04-27,29,34,5
2021-04-28,34,40,6
2021-04-29,27,30,3
2021-04-30,20,24,4
2021-05-01,36,38,2
2021-05-02,27,32,5
2021-05-03,23,28,5
2021-05-04,19,26,7
2021-05-05,22,23,1
2021-05-06,18,24,6
2021-05-07,21,22,1
2021-05-08,33,35,2
2021-05-09,27,30,3
2021-05-10,13,14,1
2021-05-11,24,24,0
2021-05-12,19,24,5
2021-05-13,24,28,4
2021-05-14,28,30,2
2021-05-15,33,36,3
2021-05-16,19,21,2
2021-05-17,19,22,3
2021-05-18,14,14,0
2021-05-19,18,21,3
2021-05-20,29,32,3
2021-05-21,26,27,1
2021-05-22,29,34,5
2021-05-23,28,33,5
